@relation teste
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute classes {4,0,1,2,3,}
@data
0.9563507,0.02699245,0
0.9598304,0.02202223,0
0.9614464,0.0300452,0
0.9824487,0.016897433,0
0.95593405,0.026182342,0
0.9824487,0.016897433,0
0.9563507,0.02699245,0
0.96929204,0.02428247,0
0.95794344,0.0269402,0
0.96929204,0.02428247,0
0.96969205,0.029845566,0
0.9731606,0.042383596,0
0.9559485,0.028551959,0
0.953227,0.020896131,0
0.96550643,0.034979463,0
0.96332204,0.023948645,0
0.953227,0.020896131,0
0.9598304,0.02202223,0
0.9701515,0.034570698,0
0.9637743,0.023063349,0
0.9637743,0.023063349,0
0.9612121,0.038133193,0
0.9495748,0.016350295,0
0.9559485,0.028551959,0
0.96403885,0.03945158,0
0.96550643,0.034979463,0
0.9710181,0.03316217,0
0.96403885,0.03945158,0
0.9732353,0.043373603,0
0.97259337,0.038299013,0
0.9614464,0.0300452,0
0.9731606,0.042383596,0
0.969426,0.033717543,0
0.953227,0.020896131,0
0.96202004,0.024840174,0
0.9563507,0.02699245,0
0.9721541,0.04172488,0
0.9653219,0.02905054,0
0.9495748,0.016350295,0
0.9565601,0.039822634,0
0.9731606,0.042383596,0
0.9495748,0.016350295,0
0.96332204,0.023948645,0
0.9565601,0.039822634,0
0.9653219,0.02905054,0
0.9767417,0.03657276,0
0.9612121,0.038133193,0
0.95794344,0.0269402,0
0.97259337,0.038299013,0
0.9824487,0.016897433,0
0.9614464,0.0300452,0
0.95446926,0.019253885,0
0.97259337,0.038299013,0
0.96969205,0.029845566,0
0.96969205,0.029845566,0
0.9726593,0.035677277,0
0.9710181,0.03316217,0
0.9701515,0.034570698,0
0.95593405,0.026182342,0
0.9637743,0.023063349,0
0.9701515,0.034570698,0
0.96403885,0.03945158,0
0.95446926,0.019253885,0
0.9612121,0.038133193,0
0.96550643,0.034979463,0
0.9726593,0.035677277,0
0.95446926,0.019253885,0
0.9559485,0.028551959,0
0.9710181,0.03316217,0
0.96202004,0.024840174,0
0.96580875,0.04282095,0
0.9598304,0.02202223,0
0.96929204,0.02428247,0
0.9653219,0.02905054,0
0.95794344,0.0269402,0
0.9714918,0.030096183,0
0.9743444,0.038194172,0
0.9630392,0.024228385,0
0.9743444,0.038194172,0
0.9570838,0.04231848,0
0.96346766,0.0265574,0
0.9672834,0.03385,0
0.97211534,0.03333269,0
0.98070633,0.04011197,0
0.974893,0.035345245,0
0.96030754,0.0331932,0
0.9654147,0.02896618,0
0.9870127,0.031587474,0
0.9714918,0.030096183,0
0.97032946,0.034220245,0
0.9613873,0.03336409,0
0.9613873,0.03336409,0
0.98240685,0.022802215,0
0.9613873,0.03336409,0
0.9630392,0.024228385,0
0.9635319,0.023346221,0
0.9814168,0.033859473,0
0.9630392,0.024228385,0
0.9870127,0.031587474,0
0.98102695,0.031110045,0
0.98000336,0.041820657,0
0.98102695,0.031110045,0
0.98102695,0.031110045,0
0.98240685,0.022802215,0
0.96030754,0.0331932,0
0.97032946,0.034220245,0
0.9714918,0.030096183,0
0.97032946,0.034220245,0
0.98070633,0.04011197,0
0.98240685,0.022802215,0
0.9814168,0.033859473,0
0.96030754,0.0331932,0
0.98000336,0.041820657,0
0.9672834,0.03385,0
0.96346766,0.0265574,0
0.9635319,0.023346221,0
0.9814168,0.033859473,0
0.9743444,0.038194172,0
0.97211534,0.03333269,0
0.97211534,0.03333269,0
0.9870127,0.031587474,0
0.9570838,0.04231848,0
0.9654147,0.02896618,0
0.9672834,0.03385,0
0.96346766,0.0265574,0
0.98070633,0.04011197,0
0.9654147,0.02896618,0
0.9570838,0.04231848,0
0.98000336,0.041820657,0
0.9635319,0.023346221,0
0.9689847,0.04790557,0
0.9721554,0.027872201,1
0.9677812,0.025854241,1
0.9572977,0.02825828,1
0.96180224,0.023609277,1
0.95826286,0.020178573,1
0.9549202,0.024785563,1
0.9759069,0.029038487,1
0.9658392,0.03486212,1
0.9572977,0.02825828,1
0.9603527,0.020570083,1
0.95927644,0.019193444,1
0.98326075,0.02369917,1
0.9585316,0.052720465,1
0.96221757,0.021306422,1
0.97154504,0.034610268,1
0.95614386,0.017011933,1
0.96180224,0.023609277,1
0.9677668,0.025335405,1
0.9603527,0.020570083,1
0.96221757,0.021306422,1
0.95927644,0.019193444,1
0.9536316,0.020276826,1
0.9585316,0.052720465,1
0.96490544,0.027664023,1
0.95927644,0.019193444,1
0.9549202,0.024785563,1
0.9657308,0.033460468,1
0.9657308,0.033460468,1
0.96221757,0.021306422,1
0.9536316,0.020276826,1
0.9651434,0.026911767,1
0.9658392,0.03486212,1
0.9651434,0.026911767,1
0.96490544,0.027664023,1
0.96180224,0.023609277,1
0.95826286,0.020178573,1
0.963286,0.022773141,1
0.9677812,0.025854241,1
0.9658392,0.03486212,1
0.9651434,0.026911767,1
0.96490544,0.027664023,1
0.9603527,0.020570083,1
0.95614386,0.017011933,1
0.9536316,0.020276826,1
0.963286,0.022773141,1
0.9677668,0.025335405,1
